Transaction_ID,Line_ID,Entry_ID,Ledger_Side,Transaction_Date,Description,Ledger_Account_Number,Ledger_Account_Name,Subaccount_Code,Subaccount_Name,Department_Code,Department_Name,Debit_Amount,Credit_Amount,Counterpart_Account_Number,Counterpart_Account_Name,Counterpart_Subaccount_Code,Counterpart_Subaccount_Name,Counterpart_Department_Code,Counterpart_Department_Name,Balance,Month
,,,Opening,2021-04-01,* Beginning balance,10A230570,Insurance Reserve Deposits,,,,,0,0,,,,,,,1528000,2021-04
,,,Opening,2021-04-01,* Beginning balance,10A230650,Security Deposits,,,,,0,0,,,,,,,3140000,2021-04
,,,Opening,2021-04-01,* Beginning balance,10B100030,Notes Payable,,,,,0,0,,,,,,,52251735,2021-04
,,,Opening,2021-04-01,* Beginning balance,10B100040,Accounts Payable,,,,,0,0,,,,,,,64051101,2021-04
,,,Opening,2021-04-01,* Beginning balance,10B100320,Provision for Bonuses,,,,,0,0,,,,,,,2021000,2021-04
,,,Opening,2021-04-01,* Beginning balance,10B100630,Accounts Payable Other,,,,,0,0,,,,,,,7584692,2021-04
,,,Opening,2021-04-01,* Beginning balance,10B100640,Accrued Corporate Taxes,,,,,0,0,,,,,,,2864378,2021-04
,,,Opening,2021-04-01,* Beginning balance,10B100660,Accrued Consumption Taxes,,,,,0,0,,,,,,,4947100,2021-04
,,,Opening,2021-04-01,* Beginning balance,10B100670,Accrued Enterprise Taxes,,,,,0,0,,,,,,,1862000,2021-04
,,,Opening,2021-04-01,* Beginning balance,10B100690,Deposits Received,,,,,0,0,,,,,,,2309575,2021-04
,,,Opening,2021-04-01,* Beginning balance,10B100790,Short-term Borrowings,,,,,0,0,,,,,,,7842000,2021-04
,,,Opening,2021-04-01,* Beginning balance,10B100890,Temporary Consumption Tax Received,,,,,0,0,,,,,,,6540636,2021-04
,,,Opening,2021-04-01,* Beginning balance,10B200080,Long-term Borrowings,,,,,0,0,,,,,,,37343150,2021-04
,,,Opening,2021-04-01,* Beginning balance,10B200120,Provision for Retirement Benefits,,,,,0,0,,,,,,,18560000,2021-04
,,,Opening,2021-04-01,* Beginning balance,10B200130,Provision for Directors' Retirement Benefits,,,,,0,0,,,,,,,22000000,2021-04
,,,Opening,2021-04-01,* Beginning balance,10C110010,Capital Stock,,,,,0,0,,,,,,,10000000,2021-04
,,,Opening,2021-04-01,* Beginning balance,10C120020,Capital Reserve,,,,,0,0,,,,,,,0,2021-04
,,,Opening,2021-04-01,* Beginning balance,10C130020,Legal Retained Earnings,,,,,0,0,,,,,,,7200000,2021-04
,,,Opening,2021-04-01,* Beginning balance,10C130360,General Reserve,,,,,0,0,,,,,,,4830000,2021-04
,,,Opening,2021-04-01,* Beginning balance,10C130370,Retained Earnings Brought Forward,,,,,0,0,,,,,,,82709171,2021-04
,,,Opening,2021-04-01,* Beginning balance,10D100100,Gross Sales,,,,,0,0,,,,,,,0,2021-04
,,,Opening,2021-04-01,* Beginning balance,10D100110,Sales Discounts and Returns,,,,,0,0,,,,,,,0,2021-04
,,,Opening,2021-04-01,* Beginning balance,10E100100,Beginning Merchandise Inventory,,,,,0,0,,,,,,,0,2021-04
,,,Opening,2021-04-01,* Beginning balance,10E100120,Purchase Discounts and Returns,,,,,0,0,,,,,,,0,2021-04
,,,Opening,2021-04-01,* Beginning balance,10E100130,Merchandise Purchases,,,,,0,0,,,,,,,0,2021-04
,,,Opening,2021-04-01,* Beginning balance,10E100140,Ending Merchandise Inventory,,,,,0,0,,,,,,,0,2021-04
,,,Opening,2021-04-01,* Beginning balance,10E200020,Sales Commissions,,,,,0,0,,,,,,,0,2021-04
,,,Opening,2021-04-01,* Beginning balance,10E200050,Advertising Expenses,,,,,0,0,,,,,,,0,2021-04
,,,Opening,2021-04-01,* Beginning balance,10E200090,Directors' Compensation,,,,,0,0,,,,,,,0,2021-04
,,,Opening,2021-04-01,* Beginning balance,10E200130,Bonuses,,,,,0,0,,,,,,,0,2021-04
,,,Opening,2021-04-01,* Beginning balance,10E200140,Employee Welfare Expenses,,,,,0,0,,,,,,,0,2021-04
,,,Opening,2021-04-01,* Beginning balance,10E200150,Entertainment Expenses,,,,,0,0,,,,,,,0,2021-04
,,,Opening,2021-04-01,* Beginning balance,10E200180,Communication Expenses,,,,,0,0,,,,,,,0,2021-04
,,,Opening,2021-04-01,* Beginning balance,10E200200,Supplies Expenses,,,,,0,0,,,,,,,0,2021-04
,,,Opening,2021-04-01,* Beginning balance,10E200210,Taxes and Dues,,,,,0,0,,,,,,,0,2021-04
,,,Opening,2021-04-01,* Beginning balance,10E200220,Depreciation Expenses,,,,,0,0,,,,,,,0,2021-04
,,,Opening,2021-04-01,* Beginning balance,10E200240,Insurance Expenses,,,,,0,0,,,,,,,0,2021-04
,,,Opening,2021-04-01,* Beginning balance,10E200370,Salaries and Allowances,,,,,0,0,,,,,,,0,2021-04
,,,Opening,2021-04-01,* Beginning balance,10E200520,Temporary Wages,,,,,0,0,,,,,,,0,2021-04
,,,Opening,2021-04-01,* Beginning balance,10E200540,Statutory Welfare Expenses,,,,,0,0,,,,,,,0,2021-04
,,,Opening,2021-04-01,* Beginning balance,10E200600,Professional Fees,,,,,0,0,,,,,,,0,2021-04
,,,Opening,2021-04-01,* Beginning balance,10E200690,Service Fees,,,,,0,0,,,,,,,0,2021-04
,,,Opening,2021-04-01,* Beginning balance,10E200720,Rent Expenses,,,,,0,0,,,,,,,0,2021-04
,,,Opening,2021-04-01,* Beginning balance,10E200730,Land and Building Rent,,,,,0,0,,,,,,,0,2021-04
,,,Opening,2021-04-01,* Beginning balance,10E200870,Freight Expenses,,,,,0,0,,,,,,,0,2021-04
,,,Opening,2021-04-01,* Beginning balance,10E201000,Repairs and Maintenance,,,,,0,0,,,,,,,0,2021-04
,,,Opening,2021-04-01,* Beginning balance,10E201040,Utilities Expenses,,,,,0,0,,,,,,,0,2021-04
,,,Opening,2021-04-01,* Beginning balance,10E201110,Office Supplies Expenses,,,,,0,0,,,,,,,0,2021-04
,,,Opening,2021-04-01,* Beginning balance,10E201120,Vehicle Expenses,,,,,0,0,,,,,,,0,2021-04
,,,Opening,2021-04-01,* Beginning balance,10E201130,Meeting Expenses,,,,,0,0,,,,,,,0,2021-04
,,,Opening,2021-04-01,* Beginning balance,10E201140,Membership Fees,,,,,0,0,,,,,,,0,2021-04
,,,Opening,2021-04-01,* Beginning balance,10E201160,Books and Publications,,,,,0,0,,,,,,,0,2021-04
,,,Opening,2021-04-01,* Beginning balance,10E201230,Travel and Transportation Expenses,,,,,0,0,,,,,,,0,2021-04
,,,Opening,2021-04-01,* Beginning balance,10E201270,Miscellaneous Expenses,,,,,0,0,,,,,,,0,2021-04
,,,Opening,2021-04-01,* Beginning balance,10E300020,Interest Expense,,,,,0,0,,,,,,,0,2021-04
,,,Opening,2021-04-01,* Beginning balance,10F100070,"Corporate, Inhabitant and Enterprise Taxes",,,,,0,0,,,,,,,0,2021-04
1.0,1.0,18,Debit,2021-04-01,Travel expense,10E201230,Travel and Transportation Expenses,,,010,Sapporo Sales Office,19500,0,10A100020,Cash,,,000,Common Department,19500,2021-04
1.0,1.0,18,Credit,2021-04-01,Travel expense,10A100020,Cash,,,000,Common Department,0,19500,10E201230,Travel and Transportation Expenses,,,010,Sapporo Sales Office,96983547,2021-04
2.0,1.0,246,Debit,2021-04-01,Travel expense,10E201230,Travel and Transportation Expenses,,,030,Nagoya Branch,10000,0,10A100020,Cash,,,000,Common Department,29500,2021-04
2.0,1.0,246,Credit,2021-04-01,Travel expense,10A100020,Cash,,,000,Common Department,0,10000,10E201230,Travel and Transportation Expenses,,,030,Nagoya Branch,96973547,2021-04
5.0,1.0,122,Debit,2021-04-02,Certificate issuance fee,10E200180,Communication Expenses,,,040,Osaka Branch,1050,0,10A100020,Cash,,,000,Common Department,1050,2021-04
5.0,1.0,122,Credit,2021-04-02,Certificate issuance fee,10A100020,Cash,,,000,Common Department,0,1050,10E200180,Communication Expenses,,,040,Osaka Branch,96972497,2021-04
6.0,1.0,142,Debit,2021-04-02,Expressway toll,10E201120,Vehicle Expenses,,,040,Osaka Branch,2458,0,10A100020,Cash,,,000,Common Department,2458,2021-04
6.0,1.0,142,Credit,2021-04-02,Expressway toll,10A100020,Cash,,,000,Common Department,0,2458,10E201120,Vehicle Expenses,,,040,Osaka Branch,96970039,2021-04
6.0,2.0,142,Debit,2021-04-02,Parking fee,10E201120,Vehicle Expenses,,,040,Osaka Branch,591,0,10A100020,Cash,,,000,Common Department,3049,2021-04
6.0,2.0,142,Credit,2021-04-02,Parking fee,10A100020,Cash,,,000,Common Department,0,591,10E201120,Vehicle Expenses,,,040,Osaka Branch,96969448,2021-04
6.0,3.0,142,Debit,2021-04-02,Gasoline,10E201120,Vehicle Expenses,,,040,Osaka Branch,4620,0,10A100020,Cash,,,000,Common Department,7669,2021-04
6.0,3.0,142,Credit,2021-04-02,Gasoline,10A100020,Cash,,,000,Common Department,0,4620,10E201120,Vehicle Expenses,,,040,Osaka Branch,96964828,2021-04
6.0,4.0,142,Debit,2021-04-02,Car wash ticket,10E201120,Vehicle Expenses,,,040,Osaka Branch,5715,0,10A100020,Cash,,,000,Common Department,13384,2021-04
6.0,4.0,142,Credit,2021-04-02,Car wash ticket,10A100020,Cash,,,000,Common Department,0,5715,10E201120,Vehicle Expenses,,,040,Osaka Branch,96959113,2021-04
3.0,1.0,19,Debit,2021-04-02,Travel expense,10E201230,Travel and Transportation Expenses,,,010,Sapporo Sales Office,11000,0,10A100020,Cash,,,000,Common Department,40500,2021-04
3.0,1.0,19,Credit,2021-04-02,Travel expense,10A100020,Cash,,,000,Common Department,0,11000,10E201230,Travel and Transportation Expenses,,,010,Sapporo Sales Office,96948113,2021-04
4.0,1.0,68,Debit,2021-04-02,toilet paper and others,10E201270,Miscellaneous Expenses,,,010,Sapporo Sales Office,2970,0,10A100020,Cash,,,000,Common Department,2970,2021-04
4.0,1.0,68,Credit,2021-04-02,toilet paper and others,10A100020,Cash,,,000,Common Department,0,2970,10E201270,Miscellaneous Expenses,,,010,Sapporo Sales Office,96945143,2021-04
8.0,1.0,134,Debit,2021-04-03,Paper,10E201110,Office Supplies Expenses,,,010,Sapporo Sales Office,15600,0,10A100020,Cash,,,000,Common Department,15600,2021-04
8.0,1.0,134,Credit,2021-04-03,Paper,10A100020,Cash,,,000,Common Department,0,15600,10E201110,Office Supplies Expenses,,,010,Sapporo Sales Office,96929543,2021-04
7.0,1.0,41,Debit,2021-04-03,Wedding reception fee,10E200150,Entertainment Expenses,,,020,Tokyo Branch,12000,0,10A100020,Cash,,,000,Common Department,12000,2021-04
7.0,1.0,41,Credit,2021-04-03,Wedding reception fee,10A100020,Cash,,,000,Common Department,0,12000,10E200150,Entertainment Expenses,,,020,Tokyo Branch,96917543,2021-04
9.0,1.0,310,Debit,2021-04-04,Gasoline,10E201120,Vehicle Expenses,,,050,Kyushu Sales Office,6486,0,10A100020,Cash,,,000,Common Department,19870,2021-04
9.0,1.0,310,Credit,2021-04-04,Gasoline,10A100020,Cash,,,000,Common Department,0,6486,10E201120,Vehicle Expenses,,,050,Kyushu Sales Office,96911057,2021-04
9.0,2.0,310,Debit,2021-04-04,Expressway toll,10E201120,Vehicle Expenses,,,050,Kyushu Sales Office,9715,0,10A100020,Cash,,,000,Common Department,29585,2021-04
9.0,2.0,310,Credit,2021-04-04,Expressway toll,10A100020,Cash,,,000,Common Department,0,9715,10E201120,Vehicle Expenses,,,050,Kyushu Sales Office,96901342,2021-04
9.0,3.0,310,Debit,2021-04-04,Parking fee,10E201120,Vehicle Expenses,,,050,Kyushu Sales Office,1200,0,10A100020,Cash,,,000,Common Department,30785,2021-04
9.0,3.0,310,Credit,2021-04-04,Parking fee,10A100020,Cash,,,000,Common Department,0,1200,10E201120,Vehicle Expenses,,,050,Kyushu Sales Office,96900142,2021-04
11.0,1.0,133,Debit,2021-04-05,Tax accountant fee,10E200600,Professional Fees,,,020,Tokyo Branch,139710,0,10A100020,Ordinary Deposits,20,ABC Bank Head Office,000,Common Department,139710,2021-04
11.0,1.0,133,Credit,2021-04-05,Tax accountant fee,10A100020,Ordinary Deposits,20,ABC Bank Head Office,000,Common Department,0,139710,10E200600,Professional Fees,,,020,Tokyo Branch,96760432,2021-04
12.0,1.0,139,Debit,2021-04-05,Uniform expense,10E200140,Employee Welfare Expenses,,,040,Osaka Branch,55630,0,10B100630,Accounts Payable Other,,,000,Common Department,55630,2021-04
12.0,1.0,139,Credit,2021-04-05,Uniform expense,10B100630,Accounts Payable Other,,,000,Common Department,0,55630,10E200140,Employee Welfare Expenses,,,040,Osaka Branch,7640322,2021-04
13.0,1.0,254,Debit,2021-04-05,Voucher No. 190 dated 4/5 Anonymized Partner 070,10A100020,Ordinary Deposits,50,MNO Bank Kitakyushu Branch,000,Common Department,2959035,0,10A100090,Accounts Receivable,22,Anonymized Partner 070,000,Common Department,99719467,2021-04
13.0,1.0,254,Credit,2021-04-05,Voucher No. 190 dated 4/5 Anonymized Partner 070,10A100090,Accounts Receivable,22,Anonymized Partner 070,000,Common Department,0,2959035,10A100020,Ordinary Deposits,50,MNO Bank Kitakyushu Branch,000,Common Department,95211318,2021-04
13.0,2.0,254,Debit,2021-04-05,Voucher No. 190 dated 4/5 Anonymized Partner 070,10E200690,Service Fees,,,050,Kyushu Sales Office,630,0,10A100090,Accounts Receivable,22,Anonymized Partner 070,000,Common Department,630,2021-04
13.0,2.0,254,Credit,2021-04-05,Voucher No. 190 dated 4/5 Anonymized Partner 070,10A100090,Accounts Receivable,22,Anonymized Partner 070,000,Common Department,0,630,10E200690,Service Fees,,,050,Kyushu Sales Office,95210688,2021-04
14.0,1.0,255,Debit,2021-04-05,Voucher No. 191 dated 4/5 Anonymized Partner 082,10A100020,Ordinary Deposits,20,ABC Bank Head Office,000,Common Department,1508295,0,10A100090,Accounts Receivable,26,Anonymized Partner 082,000,Common Department,101227762,2021-04
14.0,1.0,255,Credit,2021-04-05,Voucher No. 191 dated 4/5 Anonymized Partner 082,10A100090,Accounts Receivable,26,Anonymized Partner 082,000,Common Department,0,1508295,10A100020,Ordinary Deposits,20,ABC Bank Head Office,000,Common Department,93702393,2021-04
14.0,2.0,255,Debit,2021-04-05,Voucher No. 191 dated 4/5 Anonymized Partner 082,10E200690,Service Fees,,,020,Tokyo Branch,472,0,10A100090,Accounts Receivable,26,Anonymized Partner 082,000,Common Department,1102,2021-04
14.0,2.0,255,Credit,2021-04-05,Voucher No. 191 dated 4/5 Anonymized Partner 082,10A100090,Accounts Receivable,26,Anonymized Partner 082,000,Common Department,0,472,10E200690,Service Fees,,,020,Tokyo Branch,93701921,2021-04
15.0,1.0,256,Debit,2021-04-05,Voucher No. 192 dated 4/5 Anonymized Partner 025,10A100020,Ordinary Deposits,30,GHI Bank Nagoya Branch,000,Common Department,2171384,0,10A100090,Accounts Receivable,27,Anonymized Partner 025,000,Common Department,103399146,2021-04
15.0,1.0,256,Credit,2021-04-05,Voucher No. 192 dated 4/5 Anonymized Partner 025,10A100090,Accounts Receivable,27,Anonymized Partner 025,000,Common Department,0,2171384,10A100020,Ordinary Deposits,30,GHI Bank Nagoya Branch,000,Common Department,91530537,2021-04
15.0,2.0,256,Debit,2021-04-05,Voucher No. 192 dated 4/5 Anonymized Partner 025,10E200690,Service Fees,,,030,Nagoya Branch,735,0,10A100090,Accounts Receivable,27,Anonymized Partner 025,000,Common Department,1837,2021-04
15.0,2.0,256,Credit,2021-04-05,Voucher No. 192 dated 4/5 Anonymized Partner 025,10A100090,Accounts Receivable,27,Anonymized Partner 025,000,Common Department,0,735,10E200690,Service Fees,,,030,Nagoya Branch,91529802,2021-04
10.0,1.0,76,Debit,2021-04-05,Uniform expense,10E200140,Employee Welfare Expenses,,,020,Tokyo Branch,56000,0,10B100630,Accounts Payable Other,,,000,Common Department,111630,2021-04
10.0,1.0,76,Credit,2021-04-05,Uniform expense,10B100630,Accounts Payable Other,,,000,Common Department,0,56000,10E200140,Employee Welfare Expenses,,,020,Tokyo Branch,7696322,2021-04
16.0,1.0,10,Debit,2021-04-06,Gasoline,10E201120,Vehicle Expenses,,,010,Sapporo Sales Office,4224,0,10A100020,Cash,,,000,Common Department,35009,2021-04
16.0,1.0,10,Credit,2021-04-06,Gasoline,10A100020,Cash,,,000,Common Department,0,4224,10E201120,Vehicle Expenses,,,010,Sapporo Sales Office,103394922,2021-04
19.0,1.0,106,Debit,2021-04-06,Meal expense Anonymized Store 045 2 people,10E200150,Entertainment Expenses,,,040,Osaka Branch,5372,0,10A100020,Cash,,,000,Common Department,17372,2021-04
19.0,1.0,106,Credit,2021-04-06,Meal expense Anonymized Store 045 2 people,10A100020,Cash,,,000,Common Department,0,5372,10E200150,Entertainment Expenses,,,040,Osaka Branch,103389550,2021-04
19.0,2.0,106,Debit,2021-04-06,Meal expense Anonymized Store 022,10E200150,Entertainment Expenses,,,040,Osaka Branch,30648,0,10A100020,Cash,,,000,Common Department,48020,2021-04
19.0,2.0,106,Credit,2021-04-06,Meal expense Anonymized Store 022,10A100020,Cash,,,000,Common Department,0,30648,10E200150,Entertainment Expenses,,,040,Osaka Branch,103358902,2021-04
20.0,1.0,110,Debit,2021-04-06,taxi expense,10E201230,Travel and Transportation Expenses,,,040,Osaka Branch,2290,0,10A100020,Cash,,,000,Common Department,42790,2021-04
20.0,1.0,110,Credit,2021-04-06,taxi expense,10A100020,Cash,,,000,Common Department,0,2290,10E201230,Travel and Transportation Expenses,,,040,Osaka Branch,103356612,2021-04
21.0,1.0,123,Debit,2021-04-06,Postage stamps,10E200180,Communication Expenses,,,040,Osaka Branch,40000,0,10A100020,Cash,,,000,Common Department,41050,2021-04
21.0,1.0,123,Credit,2021-04-06,Postage stamps,10A100020,Cash,,,000,Common Department,0,40000,10E200180,Communication Expenses,,,040,Osaka Branch,103316612,2021-04
22.0,1.0,124,Debit,2021-04-06,Revenue stamp,10E200210,Taxes and Dues,,,040,Osaka Branch,6000,0,10A100020,Cash,,,000,Common Department,6000,2021-04
22.0,1.0,124,Credit,2021-04-06,Revenue stamp,10A100020,Cash,,,000,Common Department,0,6000,10E200210,Taxes and Dues,,,040,Osaka Branch,103310612,2021-04
23.0,1.0,147,Debit,2021-04-06,Gasoline,10E201120,Vehicle Expenses,,,050,Kyushu Sales Office,5126,0,10B100630,Accounts Payable Other,,,000,Common Department,40135,2021-04
23.0,1.0,147,Credit,2021-04-06,Gasoline,10B100630,Accounts Payable Other,,,000,Common Department,0,5126,10E201120,Vehicle Expenses,,,050,Kyushu Sales Office,7701448,2021-04
24.0,1.0,156,Debit,2021-04-06,Business travel expense,10E201230,Travel and Transportation Expenses,,,050,Kyushu Sales Office,7500,0,10A100020,Cash,,,000,Common Department,50290,2021-04
24.0,1.0,156,Credit,2021-04-06,Business travel expense,10A100020,Cash,,,000,Common Department,0,7500,10E201230,Travel and Transportation Expenses,,,050,Kyushu Sales Office,103303112,2021-04
25.0,1.0,236,Debit,2021-04-06,golf play expense 2 people,10E200150,Entertainment Expenses,,,020,Tokyo Branch,26500,0,10A100020,Cash,,,000,Common Department,74520,2021-04
25.0,1.0,236,Credit,2021-04-06,golf play expense 2 people,10A100020,Cash,,,000,Common Department,0,26500,10E200150,Entertainment Expenses,,,020,Tokyo Branch,103276612,2021-04
26.0,1.0,305,Debit,2021-04-06,Funds transfer,10A100020,Ordinary Deposits,40,JKL Bank Umeda Branch,000,Common Department,1000000,0,10A100020,Ordinary Deposits,20,ABC Bank Head Office,000,Common Department,104276612,2021-04
26.0,1.0,305,Credit,2021-04-06,Funds transfer,10A100020,Ordinary Deposits,20,ABC Bank Head Office,000,Common Department,0,1000000,10A100020,Ordinary Deposits,40,JKL Bank Umeda Branch,000,Common Department,103276612,2021-04
17.0,1.0,42,Debit,2021-04-06,Lunch expense Anonymized Store 036,10E200150,Entertainment Expenses,,,020,Tokyo Branch,4650,0,10A100020,Cash,,,000,Common Department,79170,2021-04
17.0,1.0,42,Credit,2021-04-06,Lunch expense Anonymized Store 036,10A100020,Cash,,,000,Common Department,0,4650,10E200150,Entertainment Expenses,,,020,Tokyo Branch,103271962,2021-04
18.0,1.0,84,Debit,2021-04-06,Postage stamps,10E200180,Communication Expenses,,,030,Nagoya Branch,70000,0,10A100020,Cash,,,000,Common Department,111050,2021-04
18.0,1.0,84,Credit,2021-04-06,Postage stamps,10A100020,Cash,,,000,Common Department,0,70000,10E200180,Communication Expenses,,,030,Nagoya Branch,103201962,2021-04
35.0,1.0,102,Debit,2021-04-07,Gift expense Anonymized Store 089,10E200150,Entertainment Expenses,,,040,Osaka Branch,1050,0,10A100020,Cash,,,000,Common Department,80220,2021-04
35.0,1.0,102,Credit,2021-04-07,Gift expense Anonymized Store 089,10A100020,Cash,,,000,Common Department,0,1050,10E200150,Entertainment Expenses,,,040,Osaka Branch,103200912,2021-04
27.0,1.0,20,Debit,2021-04-07,Travel expense,10E201230,Travel and Transportation Expenses,,,010,Sapporo Sales Office,39000,0,10A100020,Cash,,,000,Common Department,89290,2021-04
27.0,1.0,20,Credit,2021-04-07,Travel expense,10A100020,Cash,,,000,Common Department,0,39000,10E201230,Travel and Transportation Expenses,,,010,Sapporo Sales Office,103161912,2021-04
28.0,1.0,21,Debit,2021-04-07,Anonymized Railway Company A expense,10E201230,Travel and Transportation Expenses,,,010,Sapporo Sales Office,69500,0,10A100020,Cash,,,000,Common Department,158790,2021-04
28.0,1.0,21,Credit,2021-04-07,Anonymized Railway Company A expense,10A100020,Cash,,,000,Common Department,0,69500,10E201230,Travel and Transportation Expenses,,,010,Sapporo Sales Office,103092412,2021-04
29.0,1.0,22,Debit,2021-04-07,Travel expense,10E201230,Travel and Transportation Expenses,,,010,Sapporo Sales Office,50000,0,10A100020,Cash,,,000,Common Department,208790,2021-04
29.0,1.0,22,Credit,2021-04-07,Travel expense,10A100020,Cash,,,000,Common Department,0,50000,10E201230,Travel and Transportation Expenses,,,010,Sapporo Sales Office,103042412,2021-04
30.0,1.0,43,Debit,2021-04-07,Gift expense Anonymized Partner 023,10E200150,Entertainment Expenses,,,020,Tokyo Branch,6630,0,10A100020,Cash,,,000,Common Department,86850,2021-04
30.0,1.0,43,Credit,2021-04-07,Gift expense Anonymized Partner 023,10A100020,Cash,,,000,Common Department,0,6630,10E200150,Entertainment Expenses,,,020,Tokyo Branch,103035782,2021-04
31.0,1.0,56,Debit,2021-04-07,Travel expense,10E201230,Travel and Transportation Expenses,,,020,Tokyo Branch,21500,0,10A100020,Cash,,,000,Common Department,230290,2021-04
31.0,1.0,56,Credit,2021-04-07,Travel expense,10A100020,Cash,,,000,Common Department,0,21500,10E201230,Travel and Transportation Expenses,,,020,Tokyo Branch,103014282,2021-04
32.0,1.0,57,Debit,2021-04-07,Anonymized Railway Company A expense,10E201230,Travel and Transportation Expenses,,,020,Tokyo Branch,97800,0,10A100020,Cash,,,000,Common Department,328090,2021-04
32.0,1.0,57,Credit,2021-04-07,Anonymized Railway Company A expense,10A100020,Cash,,,000,Common Department,0,97800,10E201230,Travel and Transportation Expenses,,,020,Tokyo Branch,102916482,2021-04
33.0,1.0,58,Debit,2021-04-07,Travel expense,10E201230,Travel and Transportation Expenses,,,020,Tokyo Branch,70000,0,10A100020,Cash,,,000,Common Department,398090,2021-04
33.0,1.0,58,Credit,2021-04-07,Travel expense,10A100020,Cash,,,000,Common Department,0,70000,10E201230,Travel and Transportation Expenses,,,020,Tokyo Branch,102846482,2021-04
34.0,1.0,69,Debit,2021-04-07,Tea expense,10E201270,Miscellaneous Expenses,,,020,Tokyo Branch,1332,0,10A100020,Cash,,,000,Common Department,4302,2021-04
34.0,1.0,69,Credit,2021-04-07,Tea expense,10A100020,Cash,,,000,Common Department,0,1332,10E201270,Miscellaneous Expenses,,,020,Tokyo Branch,102845150,2021-04
34.0,2.0,69,Debit,2021-04-07,Cof fee expense,10E201270,Miscellaneous Expenses,,,020,Tokyo Branch,2839,0,10A100020,Cash,,,000,Common Department,7141,2021-04
34.0,2.0,69,Credit,2021-04-07,Cof fee expense,10A100020,Cash,,,000,Common Department,0,2839,10E201270,Miscellaneous Expenses,,,020,Tokyo Branch,102842311,2021-04
37.0,1.0,143,Debit,2021-04-08,Gasoline,10E201120,Vehicle Expenses,,,040,Osaka Branch,7135,0,10A100020,Cash,,,000,Common Department,47270,2021-04
37.0,1.0,143,Credit,2021-04-08,Gasoline,10A100020,Cash,,,000,Common Department,0,7135,10E201120,Vehicle Expenses,,,040,Osaka Branch,102835176,2021-04
36.0,1.0,50,Debit,2021-04-08,Expressway toll,10E201120,Vehicle Expenses,,,020,Tokyo Branch,1200,0,10A100020,Cash,,,000,Common Department,48470,2021-04
36.0,1.0,50,Credit,2021-04-08,Expressway toll,10A100020,Cash,,,000,Common Department,0,1200,10E201120,Vehicle Expenses,,,020,Tokyo Branch,102833976,2021-04
40.0,1.0,112,Debit,2021-04-10,Telephone expense,10E200180,Communication Expenses,,,040,Osaka Branch,246816,0,10A100020,Ordinary Deposits,40,JKL Bank Umeda Branch,000,Common Department,357866,2021-04
40.0,1.0,112,Credit,2021-04-10,Telephone expense,10A100020,Ordinary Deposits,40,JKL Bank Umeda Branch,000,Common Department,0,246816,10E200180,Communication Expenses,,,040,Osaka Branch,102587160,2021-04
41.0,1.0,129,Debit,2021-04-10,Rent payment,10E200720,Rent Expenses,,,030,Nagoya Branch,399000,0,10A100020,Ordinary Deposits,30,GHI Bank Nagoya Branch,000,Common Department,399000,2021-04
41.0,1.0,129,Credit,2021-04-10,Rent payment,10A100020,Ordinary Deposits,30,GHI Bank Nagoya Branch,000,Common Department,0,399000,10E200720,Rent Expenses,,,030,Nagoya Branch,102188160,2021-04
